Date_start,Date_reported,Biweek_label,Biweek_index,Country,Country_code,WHO_region,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Year,Week_num,flag_incomplete_biweek
2022-05-08,2022-05-15,2022-05-08 to 2022-05-15,62,Australia,AU,WPRO,654436,654,6445103,8543,2022,19,0
2022-05-22,2022-05-29,2022-05-22 to 2022-05-29,63,Australia,AU,WPRO,552145,661,6997248,9204,2022,21,0
2022-06-05,2022-06-12,2022-06-05 to 2022-06-12,64,Australia,AU,WPRO,384436,706,7381684,9910,2022,23,0
2022-06-19,2022-06-26,2022-06-19 to 2022-06-26,65,Australia,AU,WPRO,395351,668,7777035,10578,2022,25,0
2022-07-03,2022-07-10,2022-07-03 to 2022-07-10,66,Australia,AU,WPRO,243697,744,8020732,11322,2022,27,0
2022-07-17,2022-07-24,2022-07-17 to 2022-07-24,67,Australia,AU,WPRO,574634,1058,8595366,12380,2022,29,0
2022-07-31,2022-08-07,2022-07-31 to 2022-08-07,68,Australia,AU,WPRO,579113,1221,9174479,13601,2022,31,0
2022-08-14,2022-08-21,2022-08-14 to 2022-08-21,69,Australia,AU,WPRO,339575,901,9514054,14502,2022,33,0
2022-08-28,2022-09-04,2022-08-28 to 2022-09-04,70,Australia,AU,WPRO,183169,569,9697223,15071,2022,35,0
2022-09-11,2022-09-18,2022-09-11 to 2022-09-18,71,Australia,AU,WPRO,114665,398,9811888,15469,2022,37,0
2022-09-25,2022-10-02,2022-09-25 to 2022-10-02,72,Australia,AU,WPRO,80979,260,9892867,15729,2022,39,0
2022-10-09,2022-10-16,2022-10-09 to 2022-10-16,73,Australia,AU,WPRO,70001,176,9962868,15905,2022,41,0
2022-10-23,2022-10-30,2022-10-23 to 2022-10-30,74,Australia,AU,WPRO,59983,188,10022851,16093,2022,43,0
2022-11-06,2022-11-13,2022-11-06 to 2022-11-13,75,Australia,AU,WPRO,88073,227,10110924,16320,2022,45,0
2022-11-20,2022-11-27,2022-11-20 to 2022-11-27,76,Australia,AU,WPRO,156980,332,10267904,16652,2022,47,0
2022-12-04,2022-12-11,2022-12-04 to 2022-12-11,77,Australia,AU,WPRO,205799,531,10473703,17183,2022,49,0
2022-12-18,2022-12-25,2022-12-18 to 2022-12-25,78,Australia,AU,WPRO,220338,633,10694041,17816,2022,51,0
2023-01-01,2023-01-08,2023-01-01 to 2023-01-08,79,Australia,AU,WPRO,178507,1094,10872548,18910,2023,1,0
2023-01-15,2023-01-22,2023-01-15 to 2023-01-22,80,Australia,AU,WPRO,76912,0,10949460,18910,2023,3,0
2023-01-29,2023-02-05,2023-01-29 to 2023-02-05,81,Australia,AU,WPRO,40963,1161,10990423,20071,2023,5,0
2023-02-12,2023-02-19,2023-02-12 to 2023-02-19,82,Australia,AU,WPRO,34994,185,11025417,20256,2023,7,0
2023-02-26,2023-03-05,2023-02-26 to 2023-03-05,83,Australia,AU,WPRO,36076,168,11061493,20424,2023,9,0
2023-03-12,2023-03-19,2023-03-12 to 2023-03-19,84,Australia,AU,WPRO,41461,166,11102954,20590,2023,11,0
2023-03-26,2023-04-02,2023-03-26 to 2023-04-02,85,Australia,AU,WPRO,48535,196,11151489,20786,2023,13,0
2023-04-09,2023-04-16,2023-04-09 to 2023-04-16,86,Australia,AU,WPRO,54705,254,11206194,21040,2023,15,0
2023-04-23,2023-04-30,2023-04-23 to 2023-04-30,87,Australia,AU,WPRO,59397,301,11265591,21341,2023,17,0
2023-05-07,2023-05-14,2023-05-07 to 2023-05-14,88,Australia,AU,WPRO,61522,346,11327113,21687,2023,19,0
2023-05-21,2023-05-28,2023-05-21 to 2023-05-28,89,Australia,AU,WPRO,78732,383,11405845,22070,2023,21,0
2023-06-04,2023-06-11,2023-06-04 to 2023-06-11,90,Australia,AU,WPRO,72176,458,11478021,22528,2023,23,0
2023-06-18,2023-06-25,2023-06-18 to 2023-06-25,91,Australia,AU,WPRO,39591,242,11517612,22770,2023,25,0
2023-07-02,2023-07-09,2023-07-02 to 2023-07-09,92,Australia,AU,WPRO,24062,0,11541674,22770,2023,27,0
2023-07-16,2023-07-23,2023-07-16 to 2023-07-23,93,Australia,AU,WPRO,14321,0,11555995,22694,2023,29,0
2023-07-30,2023-08-06,2023-07-30 to 2023-08-06,94,Australia,AU,WPRO,10935,145,11566930,22839,2023,31,0
2023-08-13,2023-08-20,2023-08-13 to 2023-08-20,95,Australia,AU,WPRO,10310,123,11577240,22962,2023,33,0
2023-08-27,2023-09-03,2023-08-27 to 2023-09-03,96,Australia,AU,WPRO,10667,92,11587907,23054,2023,35,0
2023-09-10,2023-09-17,2023-09-10 to 2023-09-17,97,Australia,AU,WPRO,10050,78,11597957,23132,2023,37,0
2023-09-24,2023-10-01,2023-09-24 to 2023-10-01,98,Australia,AU,WPRO,10582,70,11608539,23202,2023,39,0
2023-10-08,2023-10-15,2023-10-08 to 2023-10-15,99,Australia,AU,WPRO,10252,123,11618791,23325,2023,41,0
2023-10-22,2023-10-29,2023-10-22 to 2023-10-29,100,Australia,AU,WPRO,11705,124,11630496,23449,2023,43,0
2023-11-05,2023-11-12,2023-11-05 to 2023-11-12,101,Australia,AU,WPRO,17980,164,11648476,23613,2023,45,0
2023-11-19,2023-11-26,2023-11-19 to 2023-11-26,102,Australia,AU,WPRO,21081,180,11669557,23793,2023,47,0
2023-12-03,2023-12-10,2023-12-03 to 2023-12-10,103,Australia,AU,WPRO,19601,324,11689158,24117,2023,49,0
2023-12-17,2023-12-24,2023-12-17 to 2023-12-24,104,Australia,AU,WPRO,21643,156,11710801,24273,2023,51,0
2023-12-31,2024-01-07,2023-12-31 to 2024-01-07,105,Australia,AU,WPRO,20552,134,11731353,24407,2024,1,0
2024-01-14,2024-01-21,2024-01-14 to 2024-01-21,106,Australia,AU,WPRO,21846,197,11753199,24604,2024,3,0
2024-01-28,2024-02-04,2024-01-28 to 2024-02-04,107,Australia,AU,WPRO,16961,106,11770160,24710,2024,5,0
2024-02-11,2024-02-18,2024-02-11 to 2024-02-18,108,Australia,AU,WPRO,15561,133,11785721,24843,2024,7,0
2024-02-25,2024-03-03,2024-02-25 to 2024-03-03,109,Australia,AU,WPRO,14786,82,11800507,24925,2024,9,0
2024-03-10,2024-03-17,2024-03-10 to 2024-03-17,110,Australia,AU,WPRO,13233,33,11813740,24958,2024,11,0
2024-03-24,2024-03-31,2024-03-24 to 2024-03-31,111,Australia,AU,WPRO,9899,81,11823639,25039,2024,13,0
2024-04-07,2024-04-14,2024-04-07 to 2024-04-14,112,Australia,AU,WPRO,8803,92,11832442,25131,2024,15,0
2024-04-21,2024-04-28,2024-04-21 to 2024-04-28,113,Australia,AU,WPRO,9081,55,11841523,25186,2024,17,0
2024-05-05,2024-05-12,2024-05-05 to 2024-05-12,114,Australia,AU,WPRO,11635,34,11853158,25220,2024,19,0
2024-05-19,2024-05-26,2024-05-19 to 2024-05-26,115,Australia,AU,WPRO,8003,16,11861161,25236,2024,21,0
